video_path,title,desc,link
decadence,Deca-Dence, 2D layout and genga for NUT Co. Ltd
castlevania,Castlevania Season 4,2D Key Animation for Powerhouse Animation
nocturne,Castlevania: Nocturne,2D Key animation for Powerhouse Animation
nocturnes2,Castlevania: Nocturne Season 2,2D Key animation for Powerhouse Animation
jjk,Jujutsu Kaisen Season 1,2D layout and genga for MAPPA Co. Ltd
fgo16,Fate/Grand Order Absolute Demonic Front: Babylonia,2D layout and genga for Cloverworks
helluvaboss,Helluva Boss,2D Key Animation for SpindleHorse
guiltygear,Guilty Gear Fan Animation,Personal Work
atomic,One Punch Man Fan Animation,Personal Work
genshin,Genshin Impact Fan Animation,Personal Work, https://www.youtube.com/watch?v=RFwoy-E6TPw
killua,Hunter X Hunter Fan Animation,Personal Work
cityangel,City Angel,Personal Work